tf,asset,view,strategy,return_pct,cagr_pct,max_dd_pct,sharpe,trades,win_rate,profit_factor,exposure_pct,years
1D,SPX,raw,Buy & Hold,599.9881315390655,12.83433644140719,-33.9249590242606,,1,,,100.0,16.11498973305955
1D,SPX,raw,Signal,69.27612893825878,3.3202110908555182,-28.1949390500583,0.3518951177152758,126,46.82539682539682,1.4115734197816243,68.47557967439566,16.11498973305955
1D,SPX,raw,Signal (next-bar fill),131.20220506702745,5.33850913690741,-24.62661191960227,0.5198546593302887,126,49.2063492063492,1.637517843268834,68.47557967439566,16.11498973305955
1D,SPX,adjusted,Buy & Hold,865.3296794053365,15.107358938912752,-33.80908497923241,,1,,,100.0,16.11498973305955
1D,SPX,adjusted,Signal,158.17033629761085,6.062154995654034,-25.754294806382738,0.5895759899397948,126,47.61904761904761,1.5826673798565492,68.47557967439566,16.11498973305955
1W,SPX,raw,Buy & Hold,8970.176376081585,7.853735700864517,-56.2440773466513,,1,,,100.0,59.619438740588635
1W,SPX,raw,Signal,2301.2410508993403,5.476114262820708,-45.73510473527851,0.5406570617458318,70,55.714285714285715,3.0845834850292584,66.25964010282776,59.619438740588635
1W,SPX,raw,Signal (next-bar fill),2049.5007262016534,5.28036185873848,-41.29125972570322,0.5166961037401432,70,54.285714285714285,2.9518578109945253,66.22750642673522,59.619438740588635
1W,SPX,adjusted,Buy & Hold,29682.534749168048,10.026143216192684,-55.005165379759106,,1,,,100.0,59.619438740588635
1W,SPX,adjusted,Signal,11676.539088554302,8.32714294463328,-38.857486633474295,0.7839359883880165,70,58.57142857142858,3.7460658536416642,66.25964010282776,59.619438740588635
1D,SPX,raw,Daily AND Weekly,15.05141378797914,0.8738487571560594,-26.315084834950277,0.1462331914147875,107,47.66355140186916,1.1584923653130477,53.99605328071041,16.11498973305955
1D,SPX,raw,Daily OR Weekly,259.2545684129128,8.259233786780374,-29.202767969122057,0.645722262224682,40,35.0,2.802903679759781,90.47853971386284,16.11498973305955
1D,SPX,raw,Weekly state only,143.88066935925994,5.688057369403077,-29.278938469794635,0.5302578900078943,23,52.17391304347826,2.770475054958592,75.9990133201776,16.11498973305955
1D,NDX,raw,Buy & Hold,1463.7466171115782,18.66012903333445,-35.563124430059936,,1,,,100.0,16.071184120465436
1D,NDX,raw,Signal,282.66071474018247,8.708756072565183,-26.35126380065076,0.6939889469011782,124,47.58064516129033,1.9431189859709819,64.52251360712519,16.071184120465436
1D,NDX,raw,Signal (next-bar fill),299.85319523130755,9.00644108301709,-29.588284848834114,0.709324541009103,123,46.34146341463415,1.954940325008788,64.52251360712519,16.071184120465436
1D,NDX,adjusted,Buy & Hold,1677.6652977234417,19.61058845253465,-35.05244305830462,,1,,,100.0,16.071184120465436
1D,NDX,adjusted,Signal,392.35055214408777,10.427059711510855,-24.538895970552655,0.8118227309263492,124,47.58064516129033,2.0107324045930977,64.52251360712519,16.071184120465436
1W,NDX,raw,Buy & Hold,24984.690006036042,14.278818384569636,-82.62003854766792,,1,,,100.0,41.39356605065024
1W,NDX,raw,Signal,8683.750375866355,11.418187513309963,-55.51570072018326,0.7547412452565604,52,69.23076923076923,6.598966106115283,66.58954187875983,41.39356605065024
1W,NDX,raw,Signal (next-bar fill),6414.738848526996,10.616712606542933,-50.125390669683135,0.6971172534423131,52,61.53846153846154,5.6014890052105235,66.54326700601574,41.39356605065024
1W,NDX,adjusted,Buy & Hold,34799.862839965666,15.19414606328937,-82.2659088767226,,1,,,100.0,41.39356605065024
1W,NDX,adjusted,Signal,16448.411211028484,13.13617133875602,-52.23200553898266,0.8505232842275298,52,69.23076923076923,6.999708343771935,66.58954187875983,41.39356605065024
1D,NDX,raw,Daily AND Weekly,96.5385847441969,4.293982984522393,-21.64975716460359,0.4504591334429255,104,46.15384615384615,1.6632518659014082,49.505195447798116,16.071184120465436
1D,NDX,raw,Daily OR Weekly,640.5834706645892,13.268109131430506,-27.55336532412639,0.83007395224091,43,51.162790697674424,3.861702342460888,87.6051459673429,16.071184120465436
1D,NDX,raw,Weekly state only,280.1433343127884,8.664119082150123,-30.30030654053042,0.6419196104285497,24,54.166666666666664,3.7099789369880374,72.58782780801583,16.071184120465436
1D,IWM,raw,Buy & Hold,364.82866043613706,10.00393256777301,-42.26101028782799,,1,,,100.0,16.11498973305955
1D,IWM,raw,Signal,72.29799572257103,3.433718805085406,-33.18834140941209,0.30707091153124266,112,45.535714285714285,1.4233698800513033,59.10212136161815,16.11498973305955
1D,IWM,raw,Signal (next-bar fill),59.06122655939243,2.921919704432585,-36.280218201593925,0.2709459881232683,112,46.42857142857143,1.335303121268892,59.07745436605821,16.11498973305955
1D,IWM,adjusted,Buy & Hold,472.8288119909744,11.439330521350733,-41.08190493062437,,1,,,100.0,16.11498973305955
1D,IWM,adjusted,Signal,122.31112731859098,5.082486231330208,-30.320966261771897,0.4171108701554574,112,46.42857142857143,1.5126586224684402,59.10212136161815,16.11498973305955
1W,IWM,raw,Buy & Hold,509.05102040816325,7.172255718616238,-58.55898281139628,,1,,,100.0,26.083504449007528
1W,IWM,raw,Signal,156.4755580925424,3.6769401503249144,-38.37457817127119,0.31154050219697177,33,51.515151515151516,1.970042006211349,64.90455212922174,26.083504449007528
1W,IWM,raw,Signal (next-bar fill),111.15156387749118,2.9068840722475953,-43.83003107901814,0.2602764909765145,33,48.484848484848484,1.7540472940698162,64.83113069016153,26.083504449007528
1W,IWM,adjusted,Buy & Hold,754.0758699238315,8.570562964239482,-57.66308914597265,,1,,,100.0,26.083504449007528
1W,IWM,adjusted,Signal,283.41688822976874,5.2875512917058165,-36.23405984645661,0.4115665315816603,33,51.515151515151516,2.192555993691847,64.90455212922174,26.083504449007528
1D,IWM,raw,Daily AND Weekly,-12.53576108933271,-0.827708188297982,-32.73503951156863,-0.018093630628744334,92,40.21739130434783,0.9696654003540105,44.05525407005427,16.11498973305955
1D,IWM,raw,Daily OR Weekly,296.21670946606025,8.919123299792542,-43.35022928656815,0.5657153415666524,40,37.5,2.6064255726835395,84.36112481499754,16.11498973305955
1D,IWM,raw,Weekly state only,101.13288487080258,4.431699880355655,-37.68379827222994,0.3569760714181375,20,60.0,2.117076150265498,69.31425752343364,16.11498973305955
1D,COIN,raw,Buy & Hold,-38.624172185430474,-8.759387150854591,-90.89789865413134,,1,,,100.0,5.325119780971937
1D,COIN,raw,Signal,-29.07344906436149,-6.24735887299469,-70.44912929223952,0.16922707749879073,36,27.77777777777778,1.2152309959166097,45.66517189835576,5.325119780971937
1D,COIN,raw,Signal (next-bar fill),-15.050921531997918,-3.01674333955928,-69.50989347995414,0.2258211434621481,36,30.555555555555557,1.282297718702283,45.59043348281017,5.325119780971937
1D,COIN,adjusted,Buy & Hold,-38.624172185430474,-8.759387150854591,-90.89789865413134,,1,,,100.0,5.325119780971937
1D,COIN,adjusted,Signal,-24.851578044056655,-5.223843980949605,-69.69790762190233,0.18819747734741943,36,27.77777777777778,1.2152309959166108,45.66517189835576,5.325119780971937
1W,COIN,raw,Buy & Hold,-19.189672467181296,-4.0193710355387875,-90.30264155344335,,1,,,100.0,5.193702943189596
1W,COIN,raw,Signal,107.97690245603468,15.141239415869157,-40.05785264303563,0.5174472255427233,6,83.33333333333334,7.345950976324698,36.39705882352941,5.193702943189596
1W,COIN,raw,Signal (next-bar fill),26.874671221650726,4.689686015110861,-49.14753080059548,0.32682109021970923,6,66.66666666666666,2.148762917599871,36.39705882352941,5.193702943189596
1W,COIN,adjusted,Buy & Hold,-19.189672467181296,-4.0193710355387875,-90.30264155344335,,1,,,100.0,5.193702943189596
1W,COIN,adjusted,Signal,122.09891479888842,16.606926063121797,-39.1852121418227,0.5423377173544636,6,83.33333333333334,7.345950976324703,36.39705882352941,5.193702943189596
1D,COIN,raw,Daily AND Weekly,142.6531612829394,18.112593403775712,-51.21513042283716,0.6142694607043173,14,50.0,2.6296354014636396,21.973094170403588,5.325119780971937
1D,COIN,raw,Daily OR Weekly,-43.393020541187624,-10.134778150332968,-73.60798964779502,0.1394631840775794,28,25.0,1.0376115975925582,59.04334828101644,5.325119780971937
1D,COIN,raw,Weekly state only,93.66319573080139,13.215097536195298,-54.44371068796637,0.4946502682043738,6,83.33333333333334,3.7908198869160206,35.351270553064275,5.325119780971937
