tf,asset,strategy,return_pct,max_dd_pct,trades,exposure_pct,sharpe,win_rate,profit_factor,cagr_pct
1W,BTC,Buy & Hold,311.7181919527654,-75.18887865388027,1,100.0,,,,
1W,BTC,TV indicator (same-bar fill),245.06394223389276,-46.94256136442476,6,52.0,0.7105175679438699,83.33333333333334,17.13526580098413,24.127783986155894
1W,BTC,TV indicator (next-bar fill),181.59277721480112,-48.06027449450083,6,51.66666666666667,0.6286846740514431,66.66666666666666,6.499007508756868,19.80186318366275
1W,BTC,Moneyline cross,145.4831635754872,-46.88357208571985,2,53.333333333333336,0.6281947431314918,50.0,9.85094684048187,16.96685023608906
1W,BTC,close > kijun,259.4926990370125,-52.61351888748316,11,56.99999999999999,0.7190316595330555,54.54545454545454,5.902276963356422,25.01831070926057
1W,BTC,trend_green (fast>slow),92.54118260767177,-61.887361834209756,4,60.66666666666667,0.4800350740555297,50.0,4.0338755311599845,12.11205082278266
1W,ETH,Buy & Hold,318.93180496719,-76.8127719076816,1,100.0,,,,
1W,ETH,TV indicator (same-bar fill),323.5307619535905,-54.28341117025129,7,51.33333333333333,0.7310507707920724,42.857142857142854,7.7109790851065485,28.646467377611895
1W,ETH,TV indicator (next-bar fill),431.355994183492,-48.68815574808366,7,51.0,0.800341701664758,71.42857142857143,12.75816055300113,33.84040306360798
1W,ETH,Moneyline cross,-45.064250653809104,-64.8619914440631,5,43.333333333333336,-0.07691910366636306,20.0,0.45497618814456775,-9.925463833734959
1W,ETH,close > kijun,186.28578221854818,-64.34591141176415,11,49.333333333333336,0.6031443028281634,45.45454545454545,4.526487633243619,20.147919266925474
1W,ETH,trend_green (fast>slow),17.38750451425699,-66.4753028145774,6,51.0,0.3216353120987786,33.33333333333333,1.8329928831253004,2.837078800946391
1W,SOL,Buy & Hold,32.826985674847876,-96.00092871325178,1,100.0,,,,
1W,SOL,TV indicator (same-bar fill),702.5449846969632,-62.09509392833752,4,43.72623574144487,0.9018854559044617,50.0,19.304564924941662,51.40125224000194
1W,SOL,TV indicator (next-bar fill),397.0516107750236,-62.37425136352825,4,43.346007604562736,0.7682150356327699,50.0,10.338114481615936,37.62322647021685
1W,SOL,Moneyline cross,70.63702021018865,-71.92242323654543,4,38.40304182509506,0.46060281440615974,25.0,4.646080661759724,11.229123679327868
1W,SOL,close > kijun,81.15594543620999,-73.17667289004392,13,42.96577946768061,0.4873623871686421,30.76923076923077,3.494462299125899,12.562161968391838
1W,SOL,trend_green (fast>slow),-14.780612473338117,-81.81700912840306,6,43.346007604562736,0.27823555992726906,16.666666666666664,2.748095884770335,-3.1351105859809603
1W,BNB,Buy & Hold,2309.301664796165,-68.55453984342901,1,100.0,,,,
1W,BNB,TV indicator (same-bar fill),1202.9895575278586,-80.068314136818,5,51.0,0.860249389890352,60.0,17.44443790552682,56.51957004611698
1W,BNB,TV indicator (next-bar fill),2328.6205002910538,-68.22440351925303,5,50.66666666666667,0.9829702525519368,60.0,37.02039782781117,74.48555973231383
1W,BNB,Moneyline cross,103.20604033018843,-48.19056866753776,5,44.666666666666664,0.5012751394484529,60.0,4.83103011734657,13.171768426836096
1W,BNB,close > kijun,424.1260849353288,-86.8439997069262,16,50.33333333333333,0.6792170715428163,25.0,5.960164364989952,33.520802192469375
1W,BNB,trend_green (fast>slow),607.6758232664157,-80.41396768014404,9,50.66666666666667,0.7397365289570536,44.44444444444444,8.517582060359445,40.70347562059986
1W,ZEC,Buy & Hold,443.5549872122762,-93.88182204636865,1,100.0,,,,
1W,ZEC,TV indicator (same-bar fill),-14.252154814070439,-94.85090703435269,9,37.24137931034483,0.3723423422096407,22.22222222222222,3.0698148998198387,-2.7379231286560612
1W,ZEC,TV indicator (next-bar fill),-28.813240948589325,-95.6363555317502,9,36.896551724137936,0.337021180363575,22.22222222222222,3.3763303151171136,-5.951716677845353
1W,ZEC,Moneyline cross,31.485892551674645,-87.86283774837727,6,34.13793103448276,0.44950773383032705,33.33333333333333,2.6926365757109134,5.066309174239914
1W,ZEC,close > kijun,96.17947337438753,-82.2494224648723,15,31.724137931034484,0.5132732422766988,13.333333333333334,3.3366746076743614,12.937512426603103
1W,ZEC,trend_green (fast>slow),5.791334110467994,-89.35424931793212,6,33.44827586206897,0.41102352730004,33.33333333333333,2.4516281744493917,1.0216441409729216
1D,BTC,Buy & Hold,-27.541019155041347,-47.054421450530015,1,100.0,,,,
1D,BTC,TV indicator (same-bar fill),9.297665766690688,-17.575871752677973,4,44.0,0.5556687615812406,25.0,0.367212982790338,11.472046614371312
1D,BTC,TV indicator (next-bar fill),10.458391902233654,-17.672634919118813,4,43.666666666666664,0.6078323015413485,25.0,0.42110472408174493,12.91986187019798
1D,BTC,Moneyline cross,17.68984206425719,-14.765122315397806,3,42.0,0.948429607017263,33.33333333333333,0.37988239481693686,22.014866955566248
1D,BTC,close > kijun,5.323438460104413,-18.491975828539342,13,40.666666666666664,0.37103263419908633,23.076923076923077,0.3840090569901554,6.540797306605661
1D,BTC,trend_green (fast>slow),2.8012142791748795,-19.268794988845283,5,35.0,0.26189412823781905,60.0,0.2959764592911219,3.4324277398857683
1D,ETH,Buy & Hold,-35.37677373085395,-59.928263657939,1,100.0,,,,
1D,ETH,TV indicator (same-bar fill),2.268134873125094,-29.42964077292387,5,48.66666666666667,0.2605371631467915,20.0,0.03031524245716391,2.7776113946794467
1D,ETH,TV indicator (next-bar fill),-3.350970578759427,-33.27707293405647,5,48.333333333333336,0.08698851452377408,20.0,0.025918216627403613,-4.0781208298682925
1D,ETH,Moneyline cross,8.537266307830404,-23.66014670042782,4,43.0,0.44562011114950856,0.0,0.0,10.525416200761484
1D,ETH,close > kijun,7.871725052025846,-24.463147837886655,12,42.0,0.4249075313186771,33.33333333333333,0.4446994902774049,9.698080628730699
1D,ETH,trend_green (fast>slow),-1.5687297633897201,-31.114393546433682,5,40.666666666666664,0.1288622807956839,20.0,0.03429625666364286,-1.9129721281199386
1D,SOL,Buy & Hold,-50.17272492910544,-67.95565867491622,1,100.0,,,,
1D,SOL,TV indicator (same-bar fill),13.627981667810186,-23.049060706046188,4,37.666666666666664,0.6377568910655466,25.0,0.2703943652418278,16.890515674919836
1D,SOL,TV indicator (next-bar fill),-9.769272694181142,-30.12767613519214,4,37.333333333333336,-0.254640879837192,25.0,0.018925121778111224,-11.80128451449507
1D,SOL,Moneyline cross,-8.134874161924921,-32.031562176778024,4,34.66666666666667,-0.18749868681218249,0.0,0.0,-9.845813496291766
1D,SOL,close > kijun,-6.387906218581419,-32.380210345774806,12,34.66666666666667,-0.11746555411349388,25.0,0.2342428416796773,-7.747121389532596
1D,SOL,trend_green (fast>slow),-7.710198183302053,-34.00373677064448,4,32.0,-0.18141979951448425,0.0,0.0,-9.33644268442617
1D,BNB,Buy & Hold,-35.80115481775532,-50.86160230963552,1,100.0,,,,
1D,BNB,TV indicator (same-bar fill),3.0033727749829486,-22.794030983638123,4,39.666666666666664,0.27819105373903413,25.0,0.05795357319624623,3.680949296274205
1D,BNB,TV indicator (next-bar fill),-0.9167500080985991,-24.49593992095791,4,39.33333333333333,0.048999769835728645,0.0,0.0,-1.1187359584400869
1D,BNB,Moneyline cross,-8.173919423010078,-28.308368074995936,4,41.333333333333336,-0.26579974759374214,0.0,0.0,-9.892619562186255
1D,BNB,close > kijun,-14.906339621352249,-29.69411055704969,16,42.333333333333336,-0.8176802784175325,12.5,0.14194312147486116,-17.895984889304493
