event_date,close_price_usd,market_cap_usd,volume_usd
2016-10-29 00:00:00 UTC,541.529,1371289,3114610
2016-10-30 00:00:00 UTC,1894.08,519741,1131940
2016-10-31 00:00:00 UTC,1367,3217504,2878690
2016-11-01 00:00:00 UTC,968.08,3792058,4836640
2016-11-02 00:00:00 UTC,871.4,3802618.24,3925660
2016-11-03 00:00:00 UTC,611.76,4636719.4,2771550
2016-11-04 00:00:00 UTC,504.9,4234602.72,2473380
2016-11-05 00:00:00 UTC,329.59,4424438.7,1999210
2016-11-06 00:00:00 UTC,237.48,3543422.09,2337250
2016-11-07 00:00:00 UTC,195.87,3065866.8,1861440
2016-11-08 00:00:00 UTC,258.08,2940792.18,1544070
2016-11-09 00:00:00 UTC,224.83,4617309.28,3866230
2016-11-10 00:00:00 UTC,185.92,4662749.37,1259600
2016-11-11 00:00:00 UTC,144.37,4422479.04,1155770
2016-11-12 00:00:00 UTC,118.01,3900733.03,1162480
2016-11-13 00:00:00 UTC,103.73,3599423.01,1413440
2016-11-14 00:00:00 UTC,109.56,3540201.17,1446090
2016-11-15 00:00:00 UTC,97.33,4168758,2026470
2016-11-16 00:00:00 UTC,87.73,4098760.96,1441030
2016-11-17 00:00:00 UTC,70.47,4075497.15,919412
2016-11-18 00:00:00 UTC,65.26,3584174.67,1025970
2016-11-19 00:00:00 UTC,60.34,3625127.7400000007,827122
2016-11-20 00:00:00 UTC,54.05,3646104.84,594947
2016-11-21 00:00:00 UTC,56.82,3539734.5,722131
2016-11-22 00:00:00 UTC,81.63,4024219.68,1321670
2016-11-23 00:00:00 UTC,94.9,6228287.37,2368040
2016-11-24 00:00:00 UTC,91.61,7800780.000000001,4080150
2016-11-25 00:00:00 UTC,76.89,8069924.9,3537200
2016-11-26 00:00:00 UTC,70.09,7231735.17,1901420
2016-11-27 00:00:00 UTC,73.57,7039559.24,1468570
2016-11-28 00:00:00 UTC,68.59,7878317.019999999,1246070
2016-11-29 00:00:00 UTC,68.08,7810068.94,1303560
2016-11-30 00:00:00 UTC,62.87,8206839.76,1368780
2016-12-01 00:00:00 UTC,60.41,8038306.72,1246450
2016-12-02 00:00:00 UTC,59.43,8154987.54,1202280
2016-12-03 00:00:00 UTC,58.55,8450589.42,833782
2016-12-04 00:00:00 UTC,51.31,8733844.95,817921
2016-12-05 00:00:00 UTC,48.61,8023909.11,1025810
2016-12-06 00:00:00 UTC,55.55,7954102.91,1389550
2016-12-07 00:00:00 UTC,53.37,9486884.55,1472040
2016-12-08 00:00:00 UTC,50.34,9492868.53,818794
2016-12-09 00:00:00 UTC,49.12,9314460.54,674680
2016-12-10 00:00:00 UTC,48.54,9448526.72,538479
2016-12-11 00:00:00 UTC,49.13,9680380.74,513865
2016-12-12 00:00:00 UTC,46.60000000000001,10150552.78,605068
2016-12-13 00:00:00 UTC,44.63,9961635.400000002,641235
2016-12-14 00:00:00 UTC,40.3,9855151.97,803491
2016-12-15 00:00:00 UTC,40.20000000000001,9190656.8,656877
2016-12-16 00:00:00 UTC,35.96000000000001,9458296.200000005,419263
2016-12-17 00:00:00 UTC,36.85,8711993.240000002,666919
2016-12-18 00:00:00 UTC,34.47,9194775.15,602270
2016-12-19 00:00:00 UTC,36.34,8843933.43,543339
2016-12-20 00:00:00 UTC,36.2,9588090.96,1100210
2016-12-21 00:00:00 UTC,47.67,9810887.8,886111
2016-12-22 00:00:00 UTC,52.78,13267466.73,2586630
2016-12-23 00:00:00 UTC,48.21,15066367.68,4794130
2016-12-24 00:00:00 UTC,46.21,14099303.76,1399220
2016-12-25 00:00:00 UTC,43.53,13847103.76,922182
2016-12-26 00:00:00 UTC,44.39,13354742.82,896123
2016-12-27 00:00:00 UTC,48.46,13935974.16,1033480
2016-12-28 00:00:00 UTC,51.05,15560215.24,2231020
2016-12-29 00:00:00 UTC,50.51,16754916.3,1200450
2016-12-30 00:00:00 UTC,48.04,16943276.44,964451
2016-12-31 00:00:00 UTC,48.51,16456390.24,534211
2017-01-01 00:00:00 UTC,49.68999999999999,16969089.06,531127
2017-01-02 00:00:00 UTC,50.23,17729093.86,769596
2017-01-03 00:00:00 UTC,56.35,18287788.63,1127240
2017-01-04 00:00:00 UTC,50.29,20910414.35,1970270
2017-01-05 00:00:00 UTC,47.1,19028177.01,2860920
2017-01-06 00:00:00 UTC,46.92,18152057.4,1189800
2017-01-07 00:00:00 UTC,46.16,18428111.52,1082430
2017-01-08 00:00:00 UTC,46.21,18458506.96,835701
2017-01-09 00:00:00 UTC,45.63,18802571.74,663039
2017-01-10 00:00:00 UTC,40.55,18897938.28,750934
2017-01-11 00:00:00 UTC,42.83,17083471.7,1219870
2017-01-12 00:00:00 UTC,43.25,18351841.23,1394500
2017-01-13 00:00:00 UTC,43.92,18841040.75,698135
2017-01-14 00:00:00 UTC,45.41,19444218.48,576140
2017-01-15 00:00:00 UTC,43.38,20420604.54,790468
2017-01-16 00:00:00 UTC,44.75,19822230.72,676604
2017-01-17 00:00:00 UTC,43.59,20778812.25,1093110
2017-01-18 00:00:00 UTC,44.16,20539346.46,957912
2017-01-19 00:00:00 UTC,43.39,21128087.04,590666
2017-01-20 00:00:00 UTC,43.52,21071008.41,671595
2017-01-21 00:00:00 UTC,43.24,21446917.12,706104
2017-01-22 00:00:00 UTC,42.88,21620259.44,804769
2017-01-23 00:00:00 UTC,41.43,21738830.72,612632
2017-01-24 00:00:00 UTC,39.93,21305626.08,643814
2017-01-25 00:00:00 UTC,38.15,20823734.58,845308
2017-01-26 00:00:00 UTC,38.19,20165861.1,1153410
2017-01-27 00:00:00 UTC,38.16,20454793.139999997,950831
2017-01-28 00:00:00 UTC,38.74,20717789.039999995,573398
2017-01-29 00:00:00 UTC,40.31,21308200.94,890189
2017-01-30 00:00:00 UTC,39.53,22454927.360000003,746792
2017-01-31 00:00:00 UTC,39.88,22306027.93,992104
2017-02-01 00:00:00 UTC,39.33,22791659.28,630443
2017-02-02 00:00:00 UTC,38.75,22756573.98,676791
2017-02-03 00:00:00 UTC,39.53,22704361.25,837602
2017-02-04 00:00:00 UTC,38.28,23438562.43,637212
2017-02-05 00:00:00 UTC,37.64,22974928.68,621879
2017-02-06 00:00:00 UTC,37.07,22856174.84,631467
2017-02-07 00:00:00 UTC,35.34,22666673.92,751624
2017-02-08 00:00:00 UTC,33.2,21966672.540000003,945860
2017-02-09 00:00:00 UTC,32.65,20868889.2,1148550
2017-02-10 00:00:00 UTC,32.77,20761939.1,600449
2017-02-11 00:00:00 UTC,31.829999999999995,21074190.38,525076
