time,open,high,low,close,volume
2022-01-01,3700,3850,3650,3800,1000000
2022-01-02,3800,3900,3750,3850,1100000
2022-01-03,3850,3950,3800,3900,1200000
2022-01-04,3900,4000,3850,3950,1050000
2022-01-05,3950,4100,3900,4050,1300000
2022-01-06,4050,4150,4000,4100,1250000
2022-01-07,4100,4200,4050,4150,1150000
2022-01-08,4150,4250,4100,4200,1100000
2022-01-09,4200,4300,4150,4250,1200000
2022-01-10,4250,4350,4200,4300,1180000
2022-01-11,4300,4400,4250,4350,1220000
2022-01-12,4350,4450,4300,4400,1300000
2022-01-13,4400,4500,4350,4450,1350000
2022-01-14,4450,4550,4400,4500,1400000
2022-01-15,4500,4600,4450,4550,1450000
2022-01-16,4550,4650,4500,4600,1500000
2022-01-17,4600,4700,4550,4650,1520000
2022-01-18,4650,4750,4600,4700,1480000
2022-01-19,4700,4800,4650,4750,1550000
2022-01-20,4750,4850,4700,4800,1600000
2022-01-21,4800,4900,4750,4850,1650000
2022-01-22,4850,4950,4800,4900,1700000
2022-01-23,4900,5000,4850,4950,1750000
2022-01-24,4950,5050,4900,5000,1800000
2022-01-25,5000,5100,4950,5050,1850000
2022-01-26,5050,5100,4900,4950,1750000
2022-01-27,4950,5000,4800,4850,1700000
2022-01-28,4850,4900,4700,4750,1650000
2022-01-29,4750,4800,4600,4650,1600000
2022-01-30,4650,4700,4500,4550,1550000
2022-01-31,4550,4600,4400,4450,1500000
2022-02-01,4450,4500,4350,4400,1450000
2022-02-02,4400,4450,4300,4350,1400000
2022-02-03,4350,4400,4250,4300,1350000
2022-02-04,4300,4400,4200,4350,1300000
2022-02-05,4350,4500,4300,4450,1400000
2022-02-06,4450,4600,4400,4550,1500000
2022-02-07,4550,4700,4500,4650,1600000
2022-02-08,4650,4800,4600,4750,1700000
2022-02-09,4750,4900,4700,4850,1800000
2022-02-10,4850,5000,4800,4950,1900000
2022-02-11,4950,5100,4900,5050,2000000
2022-02-12,5050,5200,5000,5150,2100000
2022-02-13,5150,5300,5100,5250,2200000
2022-02-14,5250,5400,5200,5350,2300000
2022-02-15,5350,5500,5300,5450,2400000
2022-02-16,5450,5600,5400,5550,2500000
2022-02-17,5550,5700,5500,5650,2600000
2022-02-18,5650,5800,5600,5750,2700000
2022-02-19,5750,5900,5700,5850,2800000
2022-02-20,5850,6000,5800,5950,2900000
2022-02-21,5950,6100,5900,6050,3000000
2022-02-22,6050,6200,6000,6150,3100000
2022-02-23,6150,6300,6100,6250,3200000
2022-02-24,6250,6400,6200,6350,3300000
2022-02-25,6350,6500,6300,6450,3400000
2022-02-26,6450,6600,6400,6550,3500000
2022-02-27,6550,6700,6500,6650,3600000
2022-02-28,6650,6800,6600,6750,3700000
