time,close,Up Trend,Down Trend,Macro Score Heatmap,Rate Hike,Rate Cut,ATR
475770600,124.63,,,1,0,0,
476375400,128.65,,,1,0,0,
476980200,126.02,,,1,1,0,
477585000,124.95,,,1,0,0,
478189800,124.84,,,1,0,0,
478794600,119.79,,,1,0,0,
479399400,116.61,,,1,0,0,
480004200,117.31,,,1,0,0,
480609000,117.36,,,1,1,0,
481213800,115.97,112.351,,1,0,0,
481818600,117.5,112.351,,1,0,0,
482423400,118.02,113.55205999999998,,1,0,0,
483028200,117.84,113.55205999999998,,1,0,1,
483629400,115.29,113.55205999999998,,1,0,0,2.3792857142857167
484234200,119.75,113.55205999999998,,1,0,0,2.587908163265308
484839000,121.66,115.394549566,,1,0,0,2.5530575801749285
485443800,121.05,117.0490946094,,1,0,1,2.5356963244481476
486048600,119.64,117.0490946094,,1,0,0,2.521003729844708
486653400,119.16,117.0490946094,,1,0,0,2.4080748919986577
487258200,115.45,,122.0453150297474,1,0,0,2.5610695425701815
487863000,115.8,,120.12178352677267,1,0,0,2.4667074323865967
488467800,122.14,114.0043948259046,,1,0,0,2.743371187216126
489072600,121.76,116.47795534331414,,1,0,0,2.6288446738435454
489677400,122.84,116.47795534331414,,1,0,1,2.621784339997578
490282200,125.87,119.40924382808446,,1,0,0,2.703799744283465
490887000,125.5,120.339319445276,,1,1,0,2.5663854768346464
491491800,124.45,120.339319445276,,1,0,0,2.555215085632171
492096600,121.72,120.339319445276,,1,0,0,2.606985436658445
492701400,118.81,,125.30995612439379,1,0,0,2.6286293340399842
493306200,119.17,,124.54546051195442,1,1,0,2.590155810179984
493911000,118.3,,123.41941446075897,1,0,0,2.4944303951671283
494515800,117.19,,121.84947301468307,1,0,0,2.4426853669409043
495120600,114.19,,120.80552571321476,1,1,0,2.502493555016554
495725400,114.01,,117.62097314189329,1,0,0,2.551601158229657
496330200,111.13,,117.62097314189329,1,0,0,2.667915361213253
496935000,110.074997,,116.63083984493356,1,0,0,2.6691355496980207
497539800,111.050003,,114.6990061604402,1,0,0,2.7906260818624475
498144600,114.32,,114.6990061604402,1,0,0,2.8977237188722724
498749400,113.910004,,114.6990061604402,1,0,0,2.8821720246671094
499357800,116.275002,108.8966637365391,,1,0,0,2.931302594333745
499962600,119.260002,111.41049316288517,,1,0,0,2.9765668375956205
500567400,122.175003,114.77869504659667,,1,0,0,3.0439547777673615
501172200,123.970001,116.786328241937,,1,0,0,3.012600579355407
501777000,126.059998,118.2794453177433,,1,0,0,3.0559859665443057
502381800,126.955002,120.56000118596897,,1,0,0,3.2069868260768546
502986600,132.125,122.36150186737207,,1,0,0,3.359344624214222
503591400,132.259995,125.03134828063486,,1,0,1,3.295820151056063
504196200,131.485001,125.03134828063486,,1,0,0,3.271475997409202
504801000,130.550003,125.03134828063486,,1,0,0,3.2277994261656864
505405800,129.565002,125.03134828063486,,1,0,0,3.413671038582424
506010600,132.770004,125.03134828063486,,1,0,0,3.5248374643979647
506615400,130.199997,125.03134828063486,,1,0,0,3.582348074083826
507220200,132.925003,125.03134828063486,,1,0,0,3.6361094259349827
507825000,137.419998,127.38421316913029,,1,0,0,3.7021014669396273
508429800,140.160004,131.26378665221725,,1,0,0,3.675166505015369
509034600,141.145004,132.6951605869955,,1,0,0,3.576583111799987
509639400,140.425003,132.96839587829595,,1,0,0,3.5464699609571313
510244200,140.710007,133.67080664046637,,1,0,0,3.4506508208887654
510849000,147,136.43497727641972,,1,0,1,3.685603619396711
511453800,148.005005,139.65398384877776,,1,0,0,3.6519888608683737
512058600,148.375,140.28882981389998,,1,0,0,3.5947032993777746
512663400,147.035004,141.23144988251,,1,1,0,3.5518670637079346
513268200,152.664993,141.23144988251,,1,0,0,3.9203044877287962
513873000,157.660004,147.2928020248331,,1,0,0,4.167068452891025
514477800,160.460007,149.83677442234978,,1,0,1,4.154777491970236
515079000,155.009995,149.83677442234978,,1,0,0,4.374078456829504
515683800,157.914993,149.83677442234978,,1,0,0,4.281644352770255
516288600,154.994995,149.83677442234978,,1,0,0,4.251884470429524
516893400,160.164993,149.83677442234978,,1,1,0,4.342106936827415
517498200,163.160004,152.8372046206083,,1,0,0,4.294813084196885
518103000,161.884995,154.1044808085475,,1,1,0,4.174469363897108
518707800,162.354996,154.1044808085475,,1,0,0,4.2587926950473145
519312600,159.585007,154.1044808085475,,1,0,0,4.38745021682965
519917400,161.615005,154.1044808085475,,1,0,0,4.300132915627532
520522200,164.514999,154.487207978138,,1,0,0,4.209051564511281
521127000,152.854996,,168.6147602196758,1,0,0,4.7737625241890465
521731800,147.759995,,159.75453894770823,1,0,1,4.975635986746972
522336600,148.259995,,157.4370800029374,1,0,0,4.750946701979332
522941400,144.190002,,155.87687150264367,1,0,0,4.840522294695096
523546200,142.294998,,152.1169350023793,1,0,0,4.7811999165025885
524151000,149.574997,,152.1169350023793,1,0,0,5.011471708180975
524755800,150.945007,,152.1169350023793,1,0,1,4.88743865759662
525360600,151.699997,,152.1169350023793,1,0,0,4.736907253482577
525965400,149.669998,,152.1169350023793,1,0,0,4.646771449662394
526570200,135.035004,,152.1169350023793,1,0,0,5.373787560400793
527175000,138.455002,,147.27313944587195,1,0,0,5.367803306086451
527779800,137.585007,,147.27313944587195,1,0,0,5.310816855651704
528384600,138.554993,,147.27313944587195,1,0,0,5.256829437390868
528989400,139.869995,,147.27313944587195,1,0,0,5.072055763291522
529594200,141.195007,,147.27313944587195,1,0,0,4.913694351627842
530199000,141.964996,,147.27313944587195,1,0,0,4.803430112225852
530807400,144.479996,,147.27313944587195,1,0,0,4.740327818495435
531412200,144.910004,,147.27313944587195,1,0,0,4.5849474743171905
532017000,143.505005,,147.27313944587195,1,0,0,4.475664940437391
532621800,142.899994,,147.27313944587195,1,0,0,4.517760444691863
533226600,147.940002,136.37207652819976,,1,0,0,4.565777770071015
533831400,149.044998,139.10236922537976,,1,0,0,4.612508000780228
534436200,144.979996,139.10236922537976,,1,0,0,4.589828715010212
535041000,143.770004,139.10236922537976,,1,0,0,4.436626092509483
535645800,142.934998,139.10236922537976,,1,0,0,4.267224371615948
536250600,142.860001,139.10236922537976,,1,0,0,4.111708130786236
536855400,156.990005,140.1910171010395,,1,1,0,4.855514264301505
537460200,162.514999,150.19667229093557,,1,0,0,5.112263031137111
538065000,166.764999,154.71749641184203,,1,0,0,5.358529814627316
538669800,166.675003,155.2287547706578,,1,0,0,5.332563042153935
539274600,174.630005,159.21762874359206,,1,0,0,5.587737039142939
539879400,179.065002,163.0261159192328,,1,0,0,5.764683536347015
540484200,178.684998,168.99725402730957,,1,0,0,5.833634426607942
541089000,182.75,168.99725402730957,,1,0,0,6.001232538993089
541693800,184.285004,170.13872794212074,,1,0,0,5.99257235763644
542298600,183.164993,171.43435464790866,,1,0,0,5.930960403519552
