entry_time,entry_price,exit_time,exit_price,duration_days,gross_pnl_pct,net_pnl_pct,pnl_cash,mfe,mae,fees_paid
2021-08-06 13:30:00+00:00,255.62775,2021-09-22 13:30:00+00:00,238.34077000000002,47,-6.7626,-6.9489,-694.89,9.7181,-7.4709,19.3144
2021-10-18 13:30:00+00:00,280.750305,2021-12-06 14:30:00+00:00,265.517175,49,-5.4259,-5.6149,-522.47,27.2982,-5.3786,18.0965
2023-01-17 14:30:00+00:00,50.00498999999999,2023-03-06 14:30:00+00:00,64.47774500000001,48,28.9426,28.6849,2519.29,62.9037,-1.1699,20.0959
2023-03-21 13:30:00+00:00,75.17757,2023-04-06 13:30:00+00:00,60.749610000000004,16,-19.1918,-19.3534,-2187.3,11.7222,-19.1514,20.4257
2023-06-02 13:30:00+00:00,63.601785,2023-06-20 13:30:00+00:00,55.562205000000006,18,-12.6405,-12.8151,-1168.05,1.4909,-20.5054,17.0691
2023-06-28 13:30:00+00:00,69.924945,2023-08-15 13:30:00+00:00,80.76959500000001,48,15.509,15.2781,1214.08,57.526,-0.05,17.1164
2023-10-25 13:30:00+00:00,82.11103499999999,2024-01-17 14:30:00+00:00,133.81306,84,62.966,62.6402,5738.25,126.961,-13.7996,24.0745
2024-02-20 14:30:00+00:00,180.40015499999998,2024-04-19 13:30:00+00:00,217.97096000000002,58,20.8264,20.5848,3066.91,55.0498,-9.9724,32.8827
2024-06-06 13:30:00+00:00,251.5257,2024-07-03 13:30:00+00:00,227.396245,27,-9.5932,-9.774,-1755.97,2.2082,-15.5911,34.1919
2024-07-22 13:30:00+00:00,257.918895,2024-08-06 13:30:00+00:00,189.375265,15,-26.5757,-26.7224,-4331.66,2.8036,-26.5389,28.0999
2024-10-15 13:30:00+00:00,196.448175,2024-12-31 14:30:00+00:00,255.43222000000003,77,30.0252,29.7653,3535.58,74.9164,-8.7546,27.3074
2025-01-31 14:30:00+00:00,301.45065,2025-02-24 14:30:00+00:00,235.26231,24,-21.9566,-22.1126,-3408.39,-0.05,-21.9176,27.4311
2025-06-20 13:30:00+00:00,295.43764500000003,2025-08-06 13:30:00+00:00,297.84100500000005,47,0.8135,0.612,73.47,42.0875,-0.05,24.0963
2025-10-02 13:30:00+00:00,346.343085,2025-10-27 13:30:00+00:00,354.28276999999997,25,2.2924,2.088,252.2,11.8169,-7.5108,24.4222
