entry_time,entry_price,exit_time,exit_price,duration_days,gross_pnl_pct,net_pnl_pct,pnl_cash,mfe,mae,fees_paid
2015-10-29 00:00:00+00:00,1.0109149261200536,2015-12-04 00:00:00+00:00,0.8243528062865702,36,-18.4548,-18.6178,-1861.78,15.1184,-21.9755,18.1464
2015-12-15 00:00:00+00:00,0.9959875795513057,2015-12-28 00:00:00+00:00,0.8584576433341706,13,-13.8084,-13.9807,-1137.78,2.1161,-14.3546,15.1457
2016-01-09 00:00:00+00:00,0.9960725685837651,2016-04-04 00:00:00+00:00,11.50662393004472,86,1055.1994,1052.8901,73706.95,1395.2324,-0.05,87.7886
2016-06-13 00:00:00+00:00,15.704855773321098,2016-06-27 00:00:00+00:00,13.838107446890941,14,-11.8864,-12.0626,-9735.39,30.5927,-28.7027,151.7504
2016-07-24 00:00:00+00:00,14.396920205392934,2016-08-03 00:00:00+00:00,8.348416451465056,10,-42.0125,-42.1284,-29899.37,-0.05,-41.9835,112.0857
2016-09-02 00:00:00+00:00,12.008878916239906,2016-10-11 00:00:00+00:00,11.83191317354687,39,-1.4736,-1.6706,-686.15,19.1456,-5.5999,81.4995
2017-02-04 00:00:00+00:00,10.943154421944351,2017-07-02 00:00:00+00:00,262.34683432191866,148,2297.3603,2292.5679,925887.53,3540.9135,-0.2576,1007.6277
2017-08-26 00:00:00+00:00,329.18979363347836,2017-09-13 00:00:00+00:00,290.4412386930897,18,-11.7709,-11.9473,-115443.23,17.3618,-11.7267,1817.9565
2017-10-07 00:00:00+00:00,307.8628350462342,2017-10-28 00:00:00+00:00,297.780165128158,21,-3.2751,-3.4684,-29510.26,9.7738,-5.9925,1672.9734
2017-11-15 00:00:00+00:00,339.10709622020426,2018-02-02 00:00:00+00:00,1105.5851032690948,79,226.0283,225.3766,1851064.01,327.0569,-2.6793,3496.3801
2019-03-31 00:00:00+00:00,143.21801631951783,2019-05-06 00:00:00+00:00,162.75489874898975,36,13.6414,13.4142,358478.71,25.6908,-1.1894,5706.2817
2019-05-13 00:00:00+00:00,196.7885128124848,2019-07-16 00:00:00+00:00,227.0085116440866,64,15.3566,15.126,458448.04,71.4231,-4.8359,6523.6673
2019-09-19 00:00:00+00:00,209.31576862333694,2019-10-03 00:00:00+00:00,180.54212460794102,14,-13.7465,-13.9189,-485675.33,5.937,-20.5904,6495.9539
2019-11-08 00:00:00+00:00,191.3960506542326,2019-11-24 00:00:00+00:00,149.85072921816328,16,-21.7065,-21.863,-656684.21,-0.05,-21.6673,5352.937
2020-01-12 00:00:00+00:00,144.67707673365243,2020-03-08 00:00:00+00:00,244.11635028502695,56,68.7319,68.3946,1605187.87,96.4595,-1.7244,6303.0474
2020-05-30 00:00:00+00:00,219.70135984083106,2020-07-06 00:00:00+00:00,228.9801691039575,37,4.2234,4.015,158679.63,12.9008,-0.05,8067.0738
2020-07-10 00:00:00+00:00,246.9824373719543,2020-09-13 00:00:00+00:00,373.7279485367568,65,51.3176,51.0151,2097140.07,92.5986,-5.7498,10324.9927
2020-10-14 00:00:00+00:00,387.4491861357499,2021-03-06 00:00:00+00:00,1545.7263713061789,143,298.9494,298.1519,18509151.31,408.4485,-5.5384,30949.8118
2021-07-31 00:00:00+00:00,2384.6349815917156,2021-09-19 00:00:00+00:00,3410.4710938304625,50,43.0186,42.7327,10562285.28,65.6551,-0.05,60031.8212
2021-10-22 00:00:00+00:00,4172.192986852708,2021-11-27 00:00:00+00:00,4513.5853784926685,36,8.1826,7.9663,2810465.26,15.407,-5.4672,73407.385
2022-10-27 00:00:00+00:00,1462.7799620317678,2022-11-11 00:00:00+00:00,1094.636385124737,15,-25.1674,-25.317,-9643203.69,12.4019,-25.13,66564.9938
2022-12-15 00:00:00+00:00,1320.0727142469905,2022-12-27 00:00:00+00:00,1218.676700044696,12,-7.6811,-7.8656,-2237511.27,-0.05,-11.6735,54682.039
2023-01-11 00:00:00+00:00,1322.3374094586422,2023-03-11 00:00:00+00:00,1439.447578049244,59,8.8563,8.6387,2264128.54,28.5753,-0.05,54710.9227
2023-03-19 00:00:00+00:00,1794.1954511351003,2023-05-01 00:00:00+00:00,1904.321215347074,43,6.1379,5.9257,1687246.97,18.0807,-4.1815,58663.9872
2023-06-27 00:00:00+00:00,1900.0968857606574,2023-07-30 00:00:00+00:00,1873.7566480785295,33,-1.3863,-1.5834,-477557.62,5.429,-3.7703,59873.1985
2023-10-02 00:00:00+00:00,1671.8344552350281,2023-10-14 00:00:00+00:00,1536.044398306027,12,-8.1222,-8.3059,-2465432.19,3.7075,-8.0763,56927.7408
2024-05-22 00:00:00+00:00,3658.2182853444738,2024-06-25 00:00:00+00:00,3416.0882387291763,34,-6.6188,-6.8055,-1852279.92,6.4286,-6.5721,52608.1745
2024-07-21 00:00:00+00:00,3506.975147656646,2024-08-05 00:00:00+00:00,2905.2616666644126,15,-17.1576,-17.3232,-4394078.97,0.7455,-17.1162,46357.4171
2024-09-26 00:00:00+00:00,2655.1712674806618,2024-10-12 00:00:00+00:00,2380.590817947077,16,-10.3413,-10.5206,-2206287.72,1.6203,-11.5686,39754.842
2024-11-09 00:00:00+00:00,2896.4193593205296,2024-12-29 00:00:00+00:00,3326.946849731522,50,14.8641,14.6345,2746149.94,38.6464,-0.05,40297.4531
2025-06-11 00:00:00+00:00,2686.342685133838,2025-06-23 00:00:00+00:00,2269.446705057557,12,-15.5191,-15.688,-3374644.51,4.5475,-15.4768,39665.5805
2025-07-11 00:00:00+00:00,2773.9658524422475,2025-09-25 00:00:00+00:00,4164.107454602591,76,50.1139,49.8138,9034423.76,74.091,-0.05,45334.4032
2025-10-08 00:00:00+00:00,4691.476300613968,2025-10-13 00:00:00+00:00,3747.343576861972,5,-20.1244,-20.2841,-5511354.71,-0.05,-20.0845,48851.9554
