entry_time,entry_price,exit_time,exit_price,duration_days,gross_pnl_pct,net_pnl_pct,pnl_cash,mfe,mae,fees_paid
2000-08-25 00:00:00+00:00,37.53105889932041,2000-10-04 00:00:00+00:00,36.24063248962011,40,-3.4383,-3.6313,-363.13,3.8264,-4.2577,19.6465
2000-11-09 00:00:00+00:00,35.50167107097993,2000-11-24 00:00:00+00:00,33.19343143161382,15,-6.5018,-6.6887,-644.58,0.5826,-7.9574,18.6382
2001-01-02 00:00:00+00:00,34.580392774089745,2001-03-06 00:00:00+00:00,34.63602975130476,63,0.1609,-0.0393,-3.54,7.5703,-5.3346,17.99
2001-04-20 00:00:00+00:00,34.017275823218526,2001-06-28 00:00:00+00:00,36.07132309207645,69,6.0382,5.8263,523.71,10.3703,-2.7083,18.5107
2001-10-18 00:00:00+00:00,30.79511031359926,2002-01-31 00:00:00+00:00,34.88615008038463,105,13.2847,13.0582,1242.16,18.712,-1.5277,20.2779
2002-03-06 00:00:00+00:00,35.512824456799706,2002-06-04 00:00:00+00:00,34.37892254647977,90,-3.1929,-3.3865,-364.2,7.8173,-2.9901,21.1554
2002-08-23 00:00:00+00:00,29.77450289391985,2002-09-23 00:00:00+00:00,26.683152394410325,31,-10.3825,-10.5617,-1097.4,0.6762,-10.3377,19.6927
2002-10-28 00:00:00+00:00,27.739993048611037,2003-01-02 00:00:00+00:00,28.252496243061927,66,1.8475,1.6439,152.77,9.7064,-4.3184,18.7483
2003-01-16 00:00:00+00:00,29.20498017849528,2003-02-03 00:00:00+00:00,27.47694199938218,18,-5.9169,-6.105,-576.67,0.5826,-8.299,18.3238
2003-03-24 00:00:00+00:00,27.30769357320712,2004-03-24 00:00:00+00:00,41.865175827478346,366,53.3091,53.0026,4700.87,64.9013,-2.4232,22.4527
2004-04-05 00:00:00+00:00,45.15092560742466,2004-05-11 00:00:00+00:00,40.384423922252445,36,-10.5568,-10.7356,-1456.82,0.5142,-11.9308,25.6953
2004-06-08 00:00:00+00:00,43.142041627558584,2004-07-21 00:00:00+00:00,42.33077807006,43,-1.8804,-2.0766,-251.54,2.8002,-4.5389,23.9867
2004-08-31 00:00:00+00:00,40.885045314131446,2005-01-19 00:00:00+00:00,46.91833678680248,141,14.7567,14.5273,1723.18,20.6985,-0.8951,25.46
2005-02-11 00:00:00+00:00,47.101315548821894,2005-03-31 00:00:00+00:00,46.39403601589839,48,-1.5016,-1.6985,-230.74,3.6626,-3.4659,26.9522
2005-05-20 00:00:00+00:00,46.04194507737505,2005-08-31 00:00:00+00:00,49.52156906785672,103,7.5575,7.3425,980.52,13.1777,-0.874,27.703
2005-09-14 00:00:00+00:00,51.13089824714891,2005-10-14 00:00:00+00:00,47.65256713974836,30,-6.8028,-6.9891,-1001.86,0.1066,-8.9194,27.6807
2005-11-07 00:00:00+00:00,50.165401895158695,2006-05-25 00:00:00+00:00,54.84974696041896,199,9.3378,9.1192,1215.84,19.3679,-1.7987,27.8959
2006-07-13 00:00:00+00:00,53.204553670474056,2006-07-27 00:00:00+00:00,53.32809283902727,14,0.2322,0.0318,4.63,1.6693,-4.1387,29.1163
2006-08-08 00:00:00+00:00,53.39678999405462,2007-03-13 00:00:00+00:00,60.250915858225284,217,12.8362,12.6107,1835.25,19.6366,-3.5049,30.9581
2007-03-29 00:00:00+00:00,61.86330501628566,2007-07-27 00:00:00+00:00,60.878053420979406,120,-1.5926,-1.7893,-293.25,7.7431,-2.5487,32.4998
2007-08-31 00:00:00+00:00,61.55338066315355,2007-11-09 00:00:00+00:00,59.772168192381265,70,-2.8938,-3.0879,-497.0,7.4729,-4.4955,31.709
2007-12-28 00:00:00+00:00,60.95659947262686,2008-01-10 00:00:00+00:00,54.79203768412289,13,-10.113,-10.2927,-1605.48,0.0655,-11.9793,29.6049
