entry_time,entry_price,exit_time,exit_price,duration_days,gross_pnl_pct,net_pnl_pct,pnl_cash,mfe,mae,fees_paid
2001-11-07 00:00:00+00:00,31.94242270079475,2002-01-31 00:00:00+00:00,34.88615008038463,85,9.2157,8.9974,899.74,14.4481,-3.0587,20.9107
2002-03-07 00:00:00+00:00,36.19954515684291,2002-06-04 00:00:00+00:00,34.37892254647977,89,-5.0294,-5.2193,-568.89,5.772,-4.8304,21.2409
2003-03-24 00:00:00+00:00,27.30769357320712,2004-03-24 00:00:00+00:00,41.865175827478346,366,53.3091,53.0026,5475.62,64.9013,-2.4232,26.1532
2004-04-05 00:00:00+00:00,45.15092560742466,2004-05-11 00:00:00+00:00,40.384423922252445,36,-10.5568,-10.7356,-1696.92,0.5142,-11.9308,29.9302
2004-06-24 00:00:00+00:00,43.44562568175163,2004-07-21 00:00:00+00:00,42.33077807006,27,-2.5661,-2.7608,-389.54,2.0819,-5.206,27.8433
2004-10-04 00:00:00+00:00,44.29604857675284,2005-01-19 00:00:00+00:00,46.91833678680248,107,5.9199,5.7082,783.16,11.4041,-4.75,28.2377
2005-03-07 00:00:00+00:00,48.707257382340494,2005-03-31 00:00:00+00:00,46.39403601589839,24,-4.7492,-4.9396,-716.4,0.2447,-6.6488,28.3037
2005-05-20 00:00:00+00:00,46.04194507737505,2005-08-31 00:00:00+00:00,49.52156906785672,103,7.5575,7.3425,1012.29,13.1777,-0.874,28.6007
2006-01-09 00:00:00+00:00,53.331968609595584,2006-05-25 00:00:00+00:00,54.84974696041896,136,2.8459,2.6403,390.74,12.2805,-0.5421,30.0041
2006-10-06 00:00:00+00:00,56.79278230173104,2007-03-13 00:00:00+00:00,60.250915858225284,158,6.089,5.877,892.7,12.4828,-0.8783,31.2884
2007-04-17 00:00:00+00:00,64.13008916937953,2007-07-27 00:00:00+00:00,60.878053420979406,101,-5.071,-5.2608,-846.06,3.9347,-5.9933,31.3342
2008-06-06 00:00:00+00:00,59.355768703531595,2008-06-27 00:00:00+00:00,54.5683861656938,21,-8.0656,-8.2493,-1256.91,0.0424,-8.1516,29.23
2009-06-02 00:00:00+00:00,41.39952384810107,2009-07-10 00:00:00+00:00,38.012449693800946,38,-8.1814,-8.365,-1169.39,3.4703,-8.7532,26.8025
2009-07-24 00:00:00+00:00,43.31149526775785,2009-11-09 00:00:00+00:00,46.90886922621784,108,8.3058,8.0893,1036.25,15.7948,-0.4374,26.6704
2009-12-15 00:00:00+00:00,48.855180516536294,2010-02-05 00:00:00+00:00,47.56554461916337,52,-2.6397,-2.8343,-392.45,6.8091,-2.8873,27.3138
2010-04-06 00:00:00+00:00,56.04063242147605,2010-05-10 00:00:00+00:00,55.243203400994624,34,-1.4229,-1.62,-217.95,7.4171,-8.8408,26.7032
2010-11-05 00:00:00+00:00,59.595536658922235,2011-05-31 00:00:00+00:00,69.03621607926038,207,15.8413,15.6097,2066.1,18.9128,-4.5406,28.5534
2012-03-20 00:00:00+00:00,68.68985549314503,2012-04-20 00:00:00+00:00,66.47977149647815,31,-3.2175,-3.411,-521.95,2.1139,-5.7502,30.097
2012-06-20 00:00:00+00:00,65.21170648443483,2012-11-06 00:00:00+00:00,68.53243402123334,139,5.0922,4.8821,721.59,11.0312,-3.7032,30.2974
2013-01-03 00:00:00+00:00,73.26107025763194,2014-02-07 00:00:00+00:00,93.94735788241995,400,28.2364,27.9801,4337.39,36.934,-0.6024,35.3607
2014-06-06 00:00:00+00:00,98.8281879649808,2014-07-30 00:00:00+00:00,98.17127963940892,54,-0.6647,-0.8633,-171.27,4.8925,-2.3385,39.5267
2014-08-26 00:00:00+00:00,99.73262746424953,2014-10-03 00:00:00+00:00,94.62164847162495,38,-5.1247,-5.3143,-1045.22,1.6061,-7.5076,38.3092
2014-12-22 00:00:00+00:00,102.87182661699623,2015-08-07 00:00:00+00:00,104.72519364884685,228,1.8016,1.5981,297.61,8.9863,-3.8857,37.5619
2016-06-01 00:00:00+00:00,101.02939491998627,2016-10-31 00:00:00+00:00,104.93307093902254,152,3.8639,3.6563,691.78,10.3814,-5.6488,38.5519
2016-11-14 00:00:00+00:00,114.61038260626417,2017-08-22 00:00:00+00:00,121.46359573411108,281,5.9796,5.7677,1131.17,13.08,-0.5538,40.376
2017-11-29 00:00:00+00:00,138.1709242696177,2018-02-07 00:00:00+00:00,135.1854624284354,70,-2.1607,-2.3563,-488.77,5.0985,-5.6252,41.0179
