entry_time,entry_price,exit_time,exit_price,duration_days,gross_pnl_pct,net_pnl_pct,pnl_cash,mfe,mae,fees_paid
2021-03-29 00:00:00+00:00,16.57472047227204,2021-05-25 00:00:00+00:00,24.755255971368356,57,49.3555,49.0569,4905.69,239.0827,-0.05,24.9206
2021-07-09 00:00:00+00:00,36.67560317766719,2021-07-16 00:00:00+00:00,31.22038301757535,7,-14.8742,-15.0444,-2242.47,-0.05,-20.4865,27.5816
2021-08-02 00:00:00+00:00,36.26688473549374,2021-10-01 00:00:00+00:00,135.21152323380215,60,272.8236,272.0784,34453.88,422.0863,-8.2493,59.8275
2022-03-26 00:00:00+00:00,102.231318434577,2022-04-18 00:00:00+00:00,102.26076992536123,23,0.0288,-0.1711,-80.64,33.6915,-3.5063,94.2006
2022-07-20 00:00:00+00:00,43.703118853023625,2022-08-26 00:00:00+00:00,34.964122033897596,37,-19.9963,-20.1562,-9480.77,6.6918,-19.9563,84.6297
2022-11-05 00:00:00+00:00,30.842013738278244,2022-11-11 00:00:00+00:00,13.997068029633501,6,-54.6169,-54.7076,-20545.82,19.0532,-54.5942,54.5826
2023-02-22 00:00:00+00:00,26.048025156119216,2023-03-06 00:00:00+00:00,20.94505689908999,12,-19.5906,-19.7514,-3359.68,-0.05,-19.5504,30.6737
2023-04-13 00:00:00+00:00,23.017157517459157,2023-05-10 00:00:00+00:00,20.64635629866464,27,-10.3001,-10.4795,-1430.47,9.8996,-10.2553,25.8822
2023-06-07 00:00:00+00:00,20.092538504138766,2023-06-10 00:00:00+00:00,18.90940842856812,3,-5.8884,-6.0765,-742.54,1.5268,-7.1824,23.7084
2023-09-30 00:00:00+00:00,19.956176398839663,2024-01-21 00:00:00+00:00,93.2785384555616,113,367.4169,366.4825,42061.9,508.5664,-0.05,65.0699
2024-05-15 00:00:00+00:00,147.218234545069,2024-06-14 00:00:00+00:00,154.7796139137098,30,5.1362,4.926,2637.34,26.5638,-3.4872,109.7718
2024-07-17 00:00:00+00:00,160.00383306122276,2024-08-11 00:00:00+00:00,156.40278559057015,25,-2.2506,-2.446,-1374.08,15.49,-18.9409,111.0336
2024-09-26 00:00:00+00:00,152.96363126799062,2024-10-13 00:00:00+00:00,145.24568403435964,17,-5.0456,-5.2354,-2869.14,3.7001,-10.6625,106.7876
2024-10-16 00:00:00+00:00,157.42460226354333,2024-12-18 00:00:00+00:00,216.40719187544812,63,37.4672,37.1924,19315.21,63.412,-4.5428,123.253
2025-04-21 00:00:00+00:00,139.7123013865968,2025-06-07 00:00:00+00:00,144.47551134768892,47,3.4093,3.2026,2281.79,31.7377,-2.4206,144.8523
2025-07-09 00:00:00+00:00,148.864445480087,2025-08-05 00:00:00+00:00,161.82217231417562,27,8.7044,8.4871,6240.57,37.9046,-0.05,153.3809
2025-09-29 00:00:00+00:00,203.67671219615778,2025-10-03 00:00:00+00:00,221.10827389730602,4,8.5584,8.3414,6654.03,8.6128,-0.05,166.2821
